test_name,question,options,correct_answer,llava_answer,raw_response,misleader,is_correct,time_seconds
VLAT,"Over the course of years between 2009 and 2014, when was the number of girls named ""Amelia"" at the maximum?","[""2009"", ""2011"", ""2012"", ""2014"", ""Omit""]",,,,,,
VLAT,"The number of girls named ""Isla"" was __________ from 2009 to 2012.","[""rising"", ""failing"", ""staying"", ""Omit""]",,,,,,
VLAT,"In the UK, the number of girls named ""Amelia"" in 2014 was more than it was in 2013,","[""True"", ""False"", ""Omit""]",,,,,,
VLAT,"Over the course of years between 2009 and 2014, the number of girls named ""Isla"" was always more than ""Olivia"".","[""True"", ""False"", ""Omit""]",,,,,,
VLAT,What is the total length of the metro system in Beijing?,"[""330 km"", ""400 km"", ""530 km"", ""560 km"", ""Omit""]",,,,,,
VLAT,Which city/’s metro system has the largest number of stations?,"[""Seoul"", ""Beijing"", ""New York City"", ""Shanghai"", ""Omit""]",,,,,,
VLAT,What is the range of the total length of the metro systems?,"[""150 - 600 km"", ""240 - 380 km"", ""240 - 560 km"", ""180 - 560 km"", ""Omit""]",,,,,,
VLAT,Which city/’s metro system does lie outside the relationship between the total system length and the number of stations most?,"[""Tokyo"", ""New York City"", ""Beijing"", ""London"", ""Omit""]",,,,,,
VLAT,A group of the metro systems of the world has approximately 300 stations and around a 200 km system length.,"[""True"", ""False"", ""Omit""]",,,,,,
VLAT,"In general, the ridership of the metro system increases as the number of stations increases.","[""True"", ""False"", ""Omit""]",,,,,,
VLAT,The metro system in Shanghai has more ridership than the metro system in Beijing.,"[""True"", ""False"", ""Omit""]",,,,,,
VLAT,What was the unemployment rate for Indiana (IN) in 2015?,"[""1.1% - 2.3%"", ""2.3% - 3.4%"", ""3.4% - 4.6%"", ""4.6% - 5.7%"", ""Omit""]",,,,,,
VLAT,In which state was the unemployment rate the highest in 2015?,"[""Alaska (AK)"", ""New Mexico (NM)"", ""Florida (FL)"", ""New York (NY)"", ""Omit""]",,,,,,
VLAT,"In 2015, the unemployment rate for Washington (WA) was higher than that of Wisconsin (WI).","[""True"", ""False"", ""Omit""]",,,,,,
VLAT,For which website was the number of unique visitors the largest in 2010?,"[""Facebook"", ""Amazon"", ""Bing"", ""Google"", ""Omit""]",,,,,,
VLAT,The number of unique visitors for Amazon was more than that of Yahoo in 2010,"[""True"", ""False"", ""Omit""]",,,,,,
VLAT,Samsung is nested in the Financial category.,"[""True"", ""False"", ""Omit""]",,,,,,
