test_name,question,options,correct_answer,llava_answer,raw_response,misleader,is_correct,time_seconds
CALVI,WY has a higher risk of bacteria Z infection than ND.,"[""True"", ""False"", ""Cannot be inferred/inadequate information""]",,,,,,
CALVI,Predatory species Z is more prevalent in NC than in AZ.,"[""True"", ""False"", ""Cannot be inferred/inadequate information""]",,,,,,
CALVI,The annual number of trees planted in town Z has been increasing from 1960 to 1980.,"[""True"", ""False"", ""Cannot be inferred/inadequate information""]",,,,,,
CALVI,What is the trend of the number of bookstores in city Z from 2000 to 2020?,"[""Increasing"", ""Decreasing"", ""Constant""]",,,,,,
CALVI,Which of the following is true about the annual number of new movies released in city X?,"[""There were more new movies released in 1992 than in 1994."", ""2000 had the most number of new movies released."", ""There were more new movies released in 1996 than in 1995."", ""None of the above.""]",,,,,,
CALVI,Which of the following is true about company Z?,"[""More employees have vacation days at D than those at A."", ""More employees have a satisfaction rating at B than those who have a rating at C."", ""Employee satisfaction rating decreases as the annual number of vacation days increases."", ""None of the above.""]",,,,,,
CALVI,What is the trend of the growth for plant species P as the number of hours of sunlight exposure per month increases?,"[""Generally increases"", ""Generally decreases"", ""Generally constant"", ""Cannot be inferred/inadequate information""]",,,,,,
CALVI,Which is the trend of the total number of apples harvested in farm X from Jan 11 to Jan 14?,"[""Increasing, then decreasing"", ""Decreasing, then increasing"", ""Cannot be inferred/inadequate information""]",,,,,,
CALVI,Which is the trend of the survival rate as weight increases for species Z?,"[""Generally increases"", ""Generally decreases"", ""Generally constant"", ""Cannot be inferred/inadequate information""]",,,,,,
CALVI,What is the trend of the total sales for item X from Apr to Jul?,"[""Decreasing, then increasing"", ""Increasing, then decreasing"", ""Cannot be inferred/inadequate information""]",,,,,,
CALVI,More than half of the people in county Z prefer reading at night.,"[""True"", ""False"", ""Cannot be inferred/inadequate information""]",,,,,,
CALVI,Monthly sales for store B is increasing from Jan to Dec.,"[""True"", ""False"", ""Cannot be inferred/inadequate information""]",,,,,,
CALVI,"In city Z, what is the approximate average number of new buildings built from 1950 to 1952?","[""20"", ""30"", ""40"", ""50""]",,,,,,
CALVI,"In town X, what is the approximate average number of customers at mall A from Jan to Mar?","[""200"", ""300"", ""400"", ""500""]",,,,,,
CALVI,Was the average amount of precipitation over 15 years in region D higher than that in region C?,"[""Yes"", ""No"", ""Cannot be inferred/inadequate information""]",,,,,,
CALVI,"Which region has the highest number of confirmed cases per 1,000 people?","[""A"", ""B"", ""C"", ""Cannot be inferred/inadequate information""]",,,,,,
CALVI,Does any members of species C weigh more than 5 lbs?,"[""Yes"", ""No"", ""Cannot be inferred/inadequate information""]",,,,,,
